City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Lockport,US,88.0,Clear,41.59,-88.06,Big Run Wolf Ranch
5,Candido Mendes,BR,76.19,Clouds,-1.45,-45.72,Quebrada Do Mlk PJL
6,Porto Walter,BR,78.06,Clouds,-8.27,-72.74,Hotel Silva
8,Portland,US,82.99,Clear,45.52,-122.68,Portland Marriott City Center
9,Ixtapa,MX,86.0,Clouds,20.7,-105.2,Container Inn Puerto Vallarta
15,Hilo,US,84.2,Clear,19.73,-155.09,Hilo Hawaiian Hotel
17,Los Llanos De Aridane,ES,77.0,Clear,28.66,-17.92,Valle Aridane
18,Sungairaya,ID,78.42,Clouds,0.7,108.9,808 artel
22,Victoria,HK,80.01,Rain,22.29,114.16,Mini Hotel Central
25,Mazatlan,MX,89.01,Clouds,23.22,-106.42,Gaviana Resort
26,Butaritari,KI,81.86,Clear,3.07,172.79,Isles Sunset Lodge
28,Bud,US,82.99,Clear,39.45,-86.18,Madsion Scouts Camp
29,Praia Da Vitoria,PT,77.0,Clouds,38.73,-27.07,Hotel Branco I
31,Vaini,TO,80.6,Clouds,-21.2,-175.2,Keleti Beach Resort
44,Pran Buri,TH,78.8,Clouds,12.38,99.91,Waterside Resort
47,Diffa,NE,77.65,Clouds,13.32,12.61,ProDAF/Diffa
49,Itoman,JP,82.4,Rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
53,Sabang,ID,81.95,Rain,5.89,95.32,Hotel Citra
55,Atuona,PF,78.44,Clouds,-9.8,-139.03,Villa Enata
56,Georgetown,MY,78.8,Haze,5.41,100.34,Cititel Penang
59,Santa Rosa,PH,86.0,Clouds,14.31,121.11,Amethyst Econotel
60,Okmulgee,US,80.6,Clear,35.62,-95.96,Holiday Inn Express & Suites Okmulgee
61,Ingham,US,86.0,Clouds,42.6,-84.38,Sunset Place
63,Manta,EC,75.2,Clouds,-0.95,-80.73,Balandra Hotel
64,Avarua,CK,77.0,Clouds,-21.21,-159.78,Paradise Inn
66,Kupang,ID,82.4,Clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
67,Salalah,OM,77.0,Clouds,17.02,54.09,HAMDAN PLAZA HOTEL
68,Sao Filipe,CV,78.35,Clouds,14.9,-24.5,Tortuga B&B
72,Labuhan,ID,76.01,Clouds,-6.88,112.21,bador sepret
73,Eyl,SO,76.75,Clouds,7.98,49.82,Amiin Hotel
75,Fare,PF,78.8,Clouds,-16.7,-151.02,Maitai Lapita Village Huahine
76,Sao Gabriel Da Cachoeira,BR,77.58,Rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
84,Hambantota,LK,78.93,Clouds,6.12,81.12,Bungalow 63
86,Syracuse,IT,75.2,Clear,37.09,15.28,Hotel Posta
89,Kavieng,PG,83.26,Rain,-2.57,150.8,Nusa Island Retreat
94,Denpasar,ID,78.8,Clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
99,La Romana,DO,82.4,Clouds,18.43,-68.97,Casa de Campo Resort and Villas
100,Eau Claire,US,89.6,Clear,44.81,-91.5,Hampton Inn Eau Claire
