City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Lockport,US,41.59,-88.06,88.0,55,1,16.11,Clear
1,Mataura,NZ,-46.19,168.86,45.0,72,71,11.01,Rain
2,Vestmannaeyjar,IS,63.44,-20.27,50.34,78,0,13.0,Clear
3,Yar-Sale,RU,66.83,70.83,52.27,90,27,5.57,Clouds
4,Tuktoyaktuk,CA,69.45,-133.04,48.2,76,20,10.29,Clouds
5,Candido Mendes,BR,-1.45,-45.72,76.19,88,11,4.65,Clouds
6,Porto Walter,BR,-8.27,-72.74,78.06,50,38,2.59,Clouds
7,Vallenar,CL,-28.57,-70.76,56.28,51,0,1.61,Clear
8,Portland,US,45.52,-122.68,82.99,34,1,6.93,Clear
9,Ixtapa,MX,20.7,-105.2,86.0,74,90,8.05,Clouds
10,Richards Bay,ZA,-28.78,32.04,60.6,66,54,1.88,Clouds
11,Gravdal,NO,68.12,13.5,48.58,67,77,10.07,Clouds
12,Ancud,CL,-41.87,-73.82,50.0,93,90,10.29,Clouds
13,Luderitz,NA,-26.65,15.16,54.97,78,0,8.34,Clear
14,Bethel,US,41.37,-73.41,71.6,35,1,9.17,Clear
15,Hilo,US,19.73,-155.09,84.2,62,1,9.17,Clear
16,Albany,US,42.6,-73.97,66.0,51,87,9.44,Clouds
17,Los Llanos De Aridane,ES,28.66,-17.92,77.0,88,5,9.17,Clear
18,Sungairaya,ID,0.7,108.9,78.42,83,55,8.46,Clouds
19,Pevek,RU,69.7,170.31,36.82,94,100,0.89,Clouds
20,Melfort,CA,52.87,-104.62,73.4,43,1,5.82,Clear
21,Rikitea,PF,-23.12,-134.97,68.65,59,6,5.64,Clear
22,Victoria,HK,22.29,114.16,80.01,90,90,1.99,Rain
23,Ushuaia,AR,-54.8,-68.3,41.0,56,75,2.86,Clouds
24,Punta Arenas,CL,-53.15,-70.92,39.0,86,90,11.41,Rain
25,Mazatlan,MX,23.22,-106.42,89.01,66,75,9.17,Clouds
26,Butaritari,KI,3.07,172.79,81.86,67,0,1.77,Clear
27,Nome,US,64.5,-165.41,57.0,76,90,9.17,Rain
28,Bud,US,39.45,-86.18,82.99,69,1,4.7,Clear
29,Praia Da Vitoria,PT,38.73,-27.07,77.0,88,40,5.82,Clouds
30,Maniitsoq,GL,65.42,-52.9,47.93,74,34,5.48,Clouds
31,Vaini,TO,-21.2,-175.2,80.6,65,20,9.17,Clouds
32,Payson,US,40.04,-111.73,97.0,13,40,8.05,Clouds
33,Narsaq,GL,60.92,-46.05,50.0,61,0,5.82,Clear
34,East London,ZA,-33.02,27.91,59.68,69,95,16.42,Clouds
35,Atasu,KZ,48.68,71.64,60.94,42,12,6.22,Clouds
36,Ostrovnoy,RU,68.05,39.51,50.54,94,100,18.99,Rain
37,Torbay,CA,47.67,-52.73,63.0,100,90,11.41,Clouds
38,Uhlove,UA,44.82,33.6,68.83,80,46,0.25,Clouds
39,New Norfolk,AU,-42.78,147.06,54.0,79,82,4.0,Clouds
