City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Blair,IN,2020-08-25 21:40:16,11.67,92.75,81.01,80,91,8.59
1,Lebu,CL,2020-08-25 21:40:15,-37.62,-73.65,52.43,77,0,17.78
2,Kapaa,US,2020-08-25 21:37:38,22.08,-159.32,86.0,66,40,11.41
3,Qaanaaq,GL,2020-08-25 21:37:24,77.48,-69.36,36.64,88,100,8.66
4,Biak,ID,2020-08-25 21:40:17,-0.91,122.88,75.43,83,78,8.21
5,Novyy Yegorlyk,RU,2020-08-25 21:40:17,46.39,41.87,65.53,44,0,10.09
6,Cape Town,ZA,2020-08-25 21:40:17,-33.93,18.42,57.99,93,75,11.41
7,Rio Verde De Mato Grosso,BR,2020-08-25 21:40:17,-18.92,-54.84,89.67,22,35,4.52
8,Rikitea,PF,2020-08-25 21:37:32,-23.12,-134.97,69.78,73,0,6.85
9,Arraial Do Cabo,BR,2020-08-25 21:40:18,-22.97,-42.03,68.0,68,75,11.41
10,Brigantine,US,2020-08-25 21:40:18,39.41,-74.36,89.6,55,1,12.75
11,Nara,JP,2020-08-25 21:40:10,34.69,135.8,82.0,83,40,5.82
12,Rocha,UY,2020-08-25 21:40:18,-34.48,-54.33,60.28,80,100,10.25
13,Ushuaia,AR,2020-08-25 21:40:18,-54.8,-68.3,42.8,56,40,6.04
14,Ndele,CF,2020-08-25 21:40:18,8.41,20.65,70.72,97,100,4.14
15,Mataura,NZ,2020-08-25 21:40:19,-46.19,168.86,39.31,84,75,5.37
16,Bandarbeyla,SO,2020-08-25 21:40:19,9.49,50.81,76.08,84,41,30.29
17,Bluff,NZ,2020-08-25 21:37:26,-46.6,168.33,44.78,75,82,17.13
18,Mayo,US,2020-08-25 21:40:19,38.89,-76.51,90.0,55,1,6.93
19,Taldan,RU,2020-08-25 21:40:19,53.67,124.8,50.32,97,99,3.74
20,Ribeira Grande,PT,2020-08-25 21:37:27,38.52,-28.7,75.2,94,75,8.05
21,Alofi,NU,2020-08-25 21:39:02,-19.06,-169.92,78.8,61,75,8.05
22,Hobart,AU,2020-08-25 21:36:26,-42.88,147.33,48.2,57,75,12.75
23,Saldanha,ZA,2020-08-25 21:40:20,-33.01,17.94,58.59,87,74,12.5
24,Magadan,RU,2020-08-25 21:40:20,59.57,150.8,51.31,57,100,7.61
25,Kangaatsiaq,GL,2020-08-25 21:37:45,68.31,-53.46,44.46,84,63,8.88
26,Wahpeton,US,2020-08-25 21:40:20,46.27,-96.61,86.0,66,1,12.75
27,Puerto Ayora,EC,2020-08-25 21:40:20,-0.74,-90.35,77.0,53,75,26.4
28,Nosy Varika,MG,2020-08-25 21:40:20,-20.58,48.53,66.43,91,56,4.43
29,Hermanus,ZA,2020-08-25 21:40:20,-34.42,19.23,55.0,94,96,10.56
30,Pacific Grove,US,2020-08-25 21:40:21,36.62,-121.92,75.99,60,40,8.05
31,Tupik,RU,2020-08-25 21:40:21,54.43,119.93,44.08,88,46,3.65
32,Faanui,PF,2020-08-25 21:37:46,-16.48,-151.75,76.3,81,35,18.5
33,Paamiut,GL,2020-08-25 21:40:21,61.99,-49.67,43.72,79,0,13.49
34,Norman Wells,CA,2020-08-25 21:40:21,65.28,-126.83,66.2,59,75,2.24
35,Malakal,SS,2020-08-25 21:40:22,9.53,31.66,74.05,87,100,2.89
36,Lahij,YE,2020-08-25 21:40:22,13.17,44.58,88.83,44,95,3.02
37,Butaritari,KI,2020-08-25 21:40:22,3.07,172.79,81.5,68,47,5.17
